Name_kurz	Name	BTS_Name	x_Wert	y_wert	Gelaendehoehe	Status	BTS_Konfig	TOC	Swap	Barring	NumAntennas	Azimuth	Antenne	Anthoehe	Beam	v_Beam	Tilt	el_Tilt	eff_Tilt	Azimuth2	Antenne2	Anthoehe2	Beam2	v_Beam2	Tilt2	el_Tilt2	eff_Tilt2	CI	LAC	CI_LAC	BCC	NumTRX	BCCH	TRX2	TRX3	TRX4	TRX5	TRX6	OMC_Datum	OMC_BCC	OMC_TRX1	OMC_TRX2	OMC_TRX3	OMC_TRX4	OMC_TRX5	OMC_TRX6	OMC_TRX7	OMC_TRX8	Ant_Freq_Band	TOC_Freq_Band	Grenze	Kanalanz_Grenze	ORT	STRASSE	GEBAEUDEART	Funknetzplaner	Funknetzoptimierer	Field_Force	Baukoordinator	StO_Nr	Kategorie	Systemtechnik	UMTS_NE
25A	305300025A	305300025A:sector1	3363933	5705850	95	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_707	24	89	7	2	2	4									5025	31101	5025_31101	4	2	685	662															GSM 1800	D (DCS1800)			Essen	Hangetal 97/99	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990419	On Air	?	-
25A	305300025A	305300025A:sector2	3363933	5705850	95	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_707	26	89	7	2	2	4									25025	31101	25025_31101	6	2	683	698															GSM 1800	D (DCS1800)			Essen	Hangetal 97/99	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990419	On Air	?	-
25A	305300025A	305300025A:sector3	3363933	5705850	95	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_707	24	89	7	2	2	4									45025	31101	45025_31101	6	2	688	695															GSM 1800	D (DCS1800)			Essen	Hangetal 97/99	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990419	On Air	?	-
28A	305300028A	305300028A:sector1	3366077	5708070	37	100	Kein MHA	TOC	not_defined	D1-Barring	1	80	K 739_707	21	89	7	-2	2	0									5028	31103	5028_31103	1	1	684																GSM 1800	D (DCS1800)			Essen	Röckenstraße 67	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Nail Bakar	345990178	On Air	?	-
28A	305300028A	305300028A:sector2	3366077	5708070	37	100	Kein MHA	TOC	not_defined	D1-Barring	1	210	K 739_707	22	89	7	0	2	2									25028	31103	25028_31103	1	2	689	670															GSM 1800	D (DCS1800)			Essen	Röckenstraße 67	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Nail Bakar	345990178	On Air	?	-
28A	305300028A	305300028A:sector3	3366077	5708070	37	100	Kein MHA	TOC	not_defined	D1-Barring	1	320	K 739_707	22	89	7	0	2	2									45028	31103	45028_31103	5	2	682	647															GSM 1800	D (DCS1800)			Essen	Röckenstraße 67	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Nail Bakar	345990178	On Air	?	-
29A	305300029A	305300029A:sector1	3366978	5706111	53	100	Kein MHA	TOC	not_defined	D1-Barring	1	345	K 739_698	32	93	15	0	0	0									5029	31101	5029_31101	5	2	712	665															GSM 1800	D (DCS1800)			Essen	Rotthauser Straße 46a	Turm	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990480	On Air	?	-
29A	305300029A	305300029A:sector2	3366978	5706111	53	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_707	33	89	7	0	2	2									25029	31101	25029_31101	7	2	695	647															GSM 1800	D (DCS1800)			Essen	Rotthauser Straße 46a	Turm	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990480	On Air	?	-
29A	305300029A	305300029A:sector3	3366978	5706111	53	100	Kein MHA	TOC	not_defined	D1-Barring	1	225	K 739_707	33	89	7	0	2	2									45029	31101	45029_31101	4	2	709	680															GSM 1800	D (DCS1800)			Essen	Rotthauser Straße 46a	Turm	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990480	On Air	?	-
30C	305300030C	305300030C:sector1	3366759	5705169	81	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_707	20	89	7	0	2	2									5030	31101	5030_31101	6	2	690	700															GSM 1800	D (DCS1800)			Essen	Krayer Straße 218	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Herr Peter Wasserek	345990589	On Air	?	-
